,Conf70,Conf75,Conf85,Conf96
[1],18.69983128,20.45678969,20.76348857,21.30349873
[2],20.46722369,18.70650418,18.70474165,20.09683365
[3],20.7542879,19.36001256,21.29433748,20.9518043
[4],20.84976604,19.53543081,20.79890212,21.33252531
[5],19.9266301,20.42638357,20.58993426,21.11084569
[6],20.77076083,20.56371344,22.13388579,20.64047704
[7],21.13523815,18.72989323,20.4128126,21.77318758
[8],20.23827673,20.57458688,20.42871258,21.53912929
[9],19.75646695,19.30616897,20.84718188,21.18419788
[10],20.61625299,19.83066508,21.77862565,22.36731122


