,Conf2,Conf3,Conf4,Conf5
[1],19.19633837,19.2981379,19.6283807,19.27843912
[2],18.93794412,19.21075662,18.986976,18.67627998
[3],19.79930341,18.86005314,18.93428694,18.99461825
[4],18.2582178,18.70812245,18.72334749,17.9476373
[5],19.31581719,19.48485876,19.58274379,19.71244043
[6],18.86068251,18.88957488,19.28259629,18.95824698
[7],19.01219791,19.32730141,19.02190702,19.32977119
[8],19.11854911,19.15114375,19.54027407,19.14582389
[9],19.24638791,18.7325401,19.23654308,18.64714826
[10],20.1786545,19.27999993,19.89010408,20.44341892
