,Conf_1,Conf_2,Conf_3,Conf_4
[seed1],26.720589551968924,19.700791360128022,19.196338366913377,22.16187313422831
[seed2],22.653699833336628,14.42212502575729,18.937944124684467,20.002252824364387
[seed3],28.040506312383343,19.512347567768327,19.799303408581498,21.867699643761547
[seed4],25.08831519646664,17.9644355111653,18.258217803050847,21.30659315187962
[seed5],22.84367595496249,15.892328400410399,19.315817186718576,20.419593355158312
[seed6],24.880594813412802,19.276233671801066,18.86068251134233,22.068979895960066
[seed7],32.0041198240039,19.15931952833312,19.012197909493327,22.365314273095528
[seed8],26.126399675753433,18.68880017961724,19.118549113434646,20.931836033374505
[seed9],29.31738139038479,16.89911442373016,19.246387907595174,21.250850580903702
[seed10],23.284178507864222,19.243658955868085,20.17865449742572,22.198728925227933
