,Conf_1,Conf_2,Conf_3,Conf_4
[seed1[,19.40733076128033,20.154729391962025,19.196338366913373,19.22337892598267
[seed2],18.21496952205229,19.338435990691266,18.93794412468446,18.168944362620344
[seed3],20.300823101853176,19.95895248367041,19.799303408581498,18.87719046968823
[seed4],21.19285333669031,18.405971451010906,18.258217803050847,18.914797762192087
[seed5],20.581447109160457,19.784272344366034,19.315817186718576,19.156592215093674
[seed6],20.917127722958135,21.63473127344678,18.86068251134233,19.474923686505463
[seed7],22.272723111185933,18.476361759111786,19.012197909493327,20.032008262460437
[seed8],20.490007421734955,19.48937187323953,19.118549113434643,18.754622531801594
[seed9],22.893560791641004,18.648613641289767,19.246387907595174,18.05026934127756
[seed10],23.262966781873384,19.632200692449256,20.17865449742572,20.21495906612941
