, Conf_1, Conf_2, Conf_3, Conf_4
[seed1],19.52508383540967,19.335865549005344,18.2242716556278,19.196338366913373
[seed2],18.579918331574024,17.892974353398934,18.721115948547162,18.937944124684464
[seed3],18.520776139173453,18.780703404316164,19.254974588472514,19.799303408581498
[seed4],18.831668248804448,19.49202800104378,19.68628619281523,18.25821780305085
[seed5],19.341766906692282,18.347052718799084,19.242116386402245,19.315817186718576
[seed6],18.836039851020338,18.543940198965995,19.536437909922107,18.86068251134233
[seed7],19.142819510585138,19.503839132298367,19.26674112848747,19.012197909493327
[seed8],19.32840212390394,19.12269398096916,19.48084348735436,19.118549113434646
[seed9],18.702189942282534,19.460743789669976,20.046031079066033,19.246387907595174
[seed10],19.502409636874493,20.11997483877114,18.746248682826334,20.17865449742572
